cluster,cell_type,sub_type,notes
0,mes,,
1,chondro.1,,
2,vasc.1,,
3,neu.1,,
4,neu.2,,
5,neu.3,,
6,chondro.2,,
7,imm.1,,
8,vasc.2,,
9,neu.4,,
10,musc,,
11,unknown,,
