"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_diff"
"1",9.00659444191576e-227,3.66635262897267,0.252,0.028,1.21877235988004e-222,"0","Krt16",0.224
"2",4.54747368058956e-63,3.43917823888145,0.063,0.005,6.15364138457379e-59,"0","Slc12a1",0.058
"3",0,3.38283615048049,0.763,0.082,0,"0","Ucma",0.681
"4",6.92937996762319e-91,3.34414777618615,0.133,0.021,9.3768369721877e-87,"0","Adgra1",0.112
"5",0,3.31880398877358,0.952,0.139,0,"0","Matn1",0.813
"6",2.3799531517409e-95,3.30050735010284,0.102,0.01,3.22055260493578e-91,"0","Klk8",0.092
"7",0,3.26253987908622,0.833,0.109,0,"0","Epyc",0.724
"8",1.0997382720829e-224,3.25782610945155,0.249,0.027,1.48816582978258e-220,"0","Ccn6",0.222
"9",0,3.06002098654131,0.857,0.234,0,"0","Tafa2",0.623
"10",3.66672948843439e-107,3.01672841429261,0.13,0.016,4.96181834374941e-103,"0","Rlbp1",0.114
"11",0,3.01020729848629,1,0.695,0,"0","Col2a1",0.305
"12",0,2.99926505873856,0.999,0.268,0,"0","Col9a3",0.731
"13",0,2.9657039363564,0.576,0.072,0,"0","Clec3a",0.504
"14",0,2.96106495646252,0.999,0.306,0,"0","Col9a1",0.693
"15",7.38679324286226e-33,2.93572545119095,0.048,0.007,9.99580861624121e-29,"0","Lypd3",0.041
"16",0,2.93000189858103,0.996,0.25,0,"0","Cnmd",0.746
"17",9.37754059575317e-166,2.92459375390291,0.202,0.025,1.26896879341732e-161,"0","5830432E09Rik",0.177
"18",0,2.90070707761053,0.999,0.321,0,"0","Col11a2",0.678
"19",2.03062818416061e-181,2.89780001098064,0.212,0.024,2.74784605880614e-177,"0","Gm36287",0.188
"20",0,2.88835910598505,0.841,0.151,0,"0","Moxd1",0.69
"21",4.00461351744807e-43,2.87832334276867,0.046,0.004,5.41904301181072e-39,"0","Gm35608",0.042
"22",0,2.87053550523137,0.866,0.13,0,"0","Meltf",0.736
"23",1.04559127080034e-278,2.86140707805299,0.32,0.038,1.41489410764702e-274,"0","Scrg1",0.282
"24",0,2.84370349226929,0.997,0.282,0,"0","Col9a2",0.715
"25",1.65922257327994e-24,2.82784228994078,0.041,0.008,2.24525998616241e-20,"0","Gm16685",0.033
"26",0,2.81747233750539,0.612,0.128,0,"0","Igsf9b",0.484
"27",1.3125901019683e-14,2.81695611743177,0.027,0.006,1.77619692598351e-10,"0","Tfpi2",0.021
"28",0,2.81547424183181,0.97,0.218,0,"0","Fmod",0.752
"29",0,2.8053949767549,0.568,0.097,0,"0","Aldh1l2",0.471
"30",2.99438621546239e-70,2.77409764638757,0.094,0.013,4.05200342676371e-66,"0","Klk10",0.081
"31",1.16887636504042e-42,2.7677002936805,0.051,0.006,1.5817234971727e-38,"0","Fam25c",0.045
"32",0,2.75319858182336,1,0.431,0,"0","Acan",0.569
"33",2.24372641335393e-188,2.75090540585992,0.235,0.031,3.03621058255053e-184,"0","Abhd1",0.204
"34",1.17268130458687e-296,2.73646594308979,0.368,0.05,1.58687234136695e-292,"0","Neu2",0.318
"35",2.22061723895705e-21,2.70233851846156,0.042,0.01,3.00493924775669e-17,"0","1700006J14Rik",0.032
"36",0,2.69418536429745,0.909,0.17,0,"0","Bcat1",0.739
"37",1.74118094122114e-219,2.68044969448934,0.297,0.045,2.35616604966044e-215,"0","Gm43154",0.252
"38",0,2.65863259488872,0.907,0.202,0,"0","Srxn1",0.705
"39",0,2.65413671205616,0.528,0.082,0,"0","Itih5l-ps",0.446
"40",0,2.65377368112176,0.839,0.16,0,"0","Loxl3",0.679
"41",0,2.64940487307322,1,0.696,0,"0","Col11a1",0.304
"42",1.27710189225096e-34,2.6327133233848,0.048,0.007,1.728174280594e-30,"0","Gm19510",0.041
"43",0,2.63163026898011,0.628,0.1,0,"0","Ngef",0.528
"44",4.48603605245661e-204,2.60866625917332,0.285,0.045,6.07050398618428e-200,"0","Gcnt4",0.24
"45",0,2.60093428510122,0.828,0.139,0,"0","Matn3",0.689
"46",6.63960180663596e-106,2.58743764389484,0.146,0.021,8.98470916473979e-102,"0","A230001M10Rik",0.125
"47",4.00028670495931e-39,2.56971829420614,0.056,0.008,5.41318796915094e-35,"0","4933412O06Rik",0.048
"48",6.86806446074934e-68,2.56053295612873,0.134,0.03,9.29386482828601e-64,"0","Gpr39",0.104
"49",2.09507216493563e-55,2.56042547940863,0.077,0.011,2.83505165359089e-51,"0","E130304I02Rik",0.066
"50",7.22975624008822e-96,2.5600695846807,0.138,0.021,9.78330614408738e-92,"0","Sfrp5",0.117
