"","x"
"1","Tspan8"
"2","Cytl1"
"3","Krt16"
"4","Mmrn1"
"5","Col17a1"
"6","Cdh5"
"7","Sult1c1"
"8","Cyp2a5"
"9","A2ml1"
"10","Tshr"
"11","Cntn5"
"12","Col8a1"
"13","Itih2"
"14","Art4"
"15","Slc4a10"
"16","Plin4"
"17","Hp"
"18","Mgst2"
"19","Cartpt"
"20","Olig2"
"21","Gm31938"
"22","Nrg3"
"23","Adcy8"
"24","Nxph1"
"25","Mpz"
"26","Plp1"
"27","Foxd3"
"28","Neil3"
"29","Depdc1a"
"30","Anln"
"31","Dmrt3"
"32","Mybpc1"
"33","Pcdh8"
"34","Col10a1"
"35","4932411K12Rik"
"36","Ibsp"
"37","Gm49339"
"38","Il1b"
"39","Nlrp3"
"40","Gh"
"41","Calb1"
"42","Minar2"
"43","Sele"
"44","Selp"
"45","Tie1"
"46","Hist1h2bb"
"47","Hist1h4a"
"48","Ska1"
"49","Pax2"
"50","Gfap"
"51","Scn7a"
"52","Abcc9"
"53","Il6"
"54","Ptgir"
"55","Gm32742"
"56","Ctla4"
"57","Mir1193"
"58","Adamts16"
"59","Gmnc"
"60","Trp73"
"61","Lrrc36"
"62","Crocc2"
"63","Cdc20b"
