"","x"
"1","2310058D17Rik"
"2","Fam57a"
"3","Mlycd"
"4","Atp13a5"
"5","Olfm5"
"6","Bpifa1"
"7","Krt16"
"8","Matn1"
"9","Epyc"
"10","Coro6"
"11","Hp"
"12","Gm15987"
"13","Tshr"
"14","Mab21l2"
"15","1700018A04Rik"
"16","Itih2"
"17","Slc4a10"
"18","Olfr1033"
"19","Klhl6"
"20","Ptprb"
"21","Tek"
"22","Tbx19"
"23","Olig2"
"24","Omp"
"25","Gdf5"
"26","Notum"
"27","Cytl1"
"28","Hmcn2"
"29","Zfp382"
"30","Pcdh15"
"31","Slc6a11"
"32","Gh"
"33","Iqsec3"
"34","Plp1"
"35","Mpz"
"36","Hey2"
"37","Dmrt3"
"38","Mybpc1"
"39","Dmrta2"
"40","Col10a1"
"41","4932411K12Rik"
"42","Dmp1"
"43","Neil3"
"44","Depdc1a"
"45","Spc25"
"46","Gm49339"
"47","Igsf6"
"48","Nlrp3"
"49","Sele"
"50","Inhbb"
"51","Selp"
"52","Adamts16"
"53","Krt7"
"54","Trp73"
"55","Hist1h4a"
"56","Hist1h1a"
"57","Tk1"
"58","Abcc9"
"59","Ptgir"
"60","Il6"
"61","Gfap"
"62","Zic1"
"63","Adgrv1"
"64","Scn7a"
"65","Rmst"
"66","Mmp9"
"67","Slc37a2"
"68","Ctsk"
