"","x"
"1","Krt16"
"2","Slc12a1"
"3","Ucma"
"4","Lhx8"
"5","Nrg3"
"6","Pcdh15"
"7","Itih2"
"8","Slc4a10"
"9","Olfr1033"
"10","Ung"
"11","Zfp414"
"12","Shmt1"
"13","Olfm5"
"14","Bpifa1"
"15","Muc16"
"16","Rbm11"
"17","Olig2"
"18","Panct2"
"19","Gdf5"
"20","Notum"
"21","Cytl1"
"22","Hp"
"23","Gm15987"
"24","C3"
"25","Ecscr"
"26","Robo4"
"27","Tie1"
"28","Mpz"
"29","Plp1"
"30","Fabp7"
"31","Neil3"
"32","Spc25"
"33","Depdc1a"
"34","Sult1e1"
"35","Dmrt3"
"36","Dmrta2"
"37","Col10a1"
"38","4932411K12Rik"
"39","Panx3"
"40","Gm49339"
"41","Nlrp3"
"42","Cd86"
"43","Gh"
"44","Actn2"
"45","Ghrhr"
"46","Mmp9"
"47","Slc37a2"
"48","Hist1h4a"
"49","Scn7a"
"50","Lratd1"
"51","Gfap"
"52","Abcc9"
"53","Il6"
"54","Ptgir"
"55","Adamts16"
"56","Krt7"
"57","Trp73"
"58","Ccdc17"
"59","Spag16"
"60","Ccdc181"
