"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_diff"
"1",0,5.44169135095596,0.102,0.002,0,"0","Mfap5",0.1
"2",7.80023725283863e-29,4.7905054978751,0.011,0.001,1.17260966621923e-24,"0","Asgr1",0.01
"3",0,4.37675502168457,0.158,0.012,0,"0","Agtr2",0.146
"4",2.1337129284048e-180,4.21039775016366,0.069,0.004,3.20761064527094e-176,"0","Lhx8",0.065
"5",3.43062087623995e-253,4.20806955435603,0.101,0.007,5.15725236325152e-249,"0","Olfr1033",0.094
"6",2.85899181217319e-39,4.19234565913505,0.016,0.001,4.29792239123995e-35,"0","Art4",0.015
"7",0,4.06308843833109,0.45,0.028,0,"0","Sfrp2",0.422
"8",8.31812615675062e-95,4.02637016767746,0.038,0.003,1.25046390514432e-90,"0","Itih2",0.035
"9",0,3.99690615144014,0.509,0.072,0,"0","Col8a1",0.437
"10",1.59500063160275e-23,3.91712538078061,0.012,0.001,2.39776444948841e-19,"0","Prokr1",0.011
"11",0,3.86506135283138,0.484,0.044,0,"0","Mfap4",0.44
"12",0,3.82913528858223,0.176,0.011,0,"0","Tmem119",0.165
"13",0,3.81831459665214,0.434,0.032,0,"0","Frem1",0.402
"14",3.28700493061419e-135,3.81763174123825,0.051,0.003,4.94135451219232e-131,"0","Gm48024",0.048
"15",0,3.71089706706941,0.657,0.126,0,"0","Eln",0.531
"16",1.70668721913678e-21,3.61564866585788,0.01,0.001,2.56566289652832e-17,"0","Tomm20l",0.009
"17",0,3.56200409135087,0.169,0.017,0,"0","1700018A04Rik",0.152
"18",5.52899362915465e-61,3.53044186648805,0.022,0.001,8.31173612270819e-57,"0","1700024B18Rik",0.021
"19",1.65942409669979e-144,3.51552816729297,0.056,0.003,2.49461224456879e-140,"0","Igfbp6",0.053
"20",0,3.51497635113614,0.142,0.013,0,"0","Shisa3",0.129
"21",0,3.51115398671924,0.98,0.337,0,"0","Col1a1",0.643
"22",9.32000116984802e-139,3.51095702589261,0.072,0.009,1.40107577586325e-134,"0","Nxph1",0.063
"23",0,3.43477459450706,0.615,0.09,0,"0","Aspn",0.525
"24",5.59596773961893e-306,3.421790544071,0.138,0.013,8.41241830296914e-302,"0","Foxd1",0.125
"25",2.55167159340949e-43,3.42070762143788,0.017,0.001,3.83592790637248e-39,"0","Gm5834",0.016
"26",0,3.41538052179375,0.144,0.008,0,"0","Egfl6",0.136
"27",0,3.41446969785068,0.537,0.058,0,"0","Igf1",0.479
"28",8.80510433449353e-35,3.40904551358544,0.013,0.001,1.32367133460441e-30,"0","Cdh9",0.012
"29",0,3.40548740858573,0.161,0.013,0,"0","Osr2",0.148
"30",8.6720109215098e-240,3.38762516050284,0.109,0.01,1.30366340183057e-235,"0","Barx1",0.099
"31",2.228578792722e-70,3.37675701709098,0.049,0.009,3.35022249909898e-66,"0","Slc4a10",0.04
"32",3.3243311724868e-103,3.37269126504875,0.051,0.006,4.99746705159941e-99,"0","D830025C05Rik",0.045
"33",6.31828866062751e-101,3.33955247957924,0.037,0.002,9.49828334352133e-97,"0","Tbx22",0.035
"34",1.6042805738914e-279,3.29764961883312,0.136,0.015,2.41171498673095e-275,"0","Apod",0.121
"35",9.9778344533689e-154,3.25615053863522,0.067,0.005,1.49996785337495e-149,"0","Cys1",0.062
"36",0,3.24992581743693,0.361,0.041,0,"0","Dchs2",0.32
"37",0,3.21796700402928,0.637,0.093,0,"0","Igfbp4",0.544
"38",0,3.20752468532527,0.52,0.072,0,"0","Col14a1",0.448
"39",0,3.20036613888119,0.311,0.022,0,"0","Tspan11",0.289
"40",4.12419604560659e-113,3.1898460316756,0.066,0.01,6.19990391536039e-109,"0","Col6a6",0.056
"41",0,3.1774294811502,0.498,0.088,0,"0","Abi3bp",0.41
"42",0,3.16265352719172,0.343,0.039,0,"0","Itgbl1",0.304
"43",2.06741332365264e-131,3.15052612411661,0.053,0.003,3.10794244944701e-127,"0","Rspo1",0.05
"44",0,3.14831422272311,0.274,0.039,0,"0","Cd248",0.235
"45",0,3.14648033841776,0.356,0.042,0,"0","Pax9",0.314
"46",0,3.14215007384682,0.98,0.458,0,"0","Col1a2",0.522
"47",0,3.13286129555358,0.136,0.011,0,"0","Olfml1",0.125
"48",1.73274611675815e-115,3.12731883794285,0.111,0.03,2.60483723732253e-111,"0","Nrg3",0.081
"49",1.17159181006115e-140,3.12347324827932,0.086,0.014,1.76125396806492e-136,"0","Cpz",0.072
"50",3.82895076135573e-265,3.11024841836564,0.156,0.025,5.75606167954606e-261,"0","Emilin3",0.131
"51",7.19976277314497e-97,4.44390623398761,0.037,0.002,1.08234033768688e-92,"1","4932411K12Rik",0.035
"52",8.53810082434598e-48,4.31966723014822,0.02,0.001,1.28353269692393e-43,"1","Gm31834",0.019
