"","x"
"1","2310058D17Rik"
"2","Fam57a"
"3","Mlycd"
"4","Dmac1"
"5","Slc12a1"
"6","Atp13a5"
"7","Olfm5"
"8","Bpifa1"
"9","A2ml1"
"10","Scel"
"11","Krt16"
"12","Matn1"
"13","Epyc"
"14","Ucma"
"15","1110002E22Rik"
"16","Coro6"
"17","Hp"
"18","Gm15987"
"19","Steap4"
"20","Fgf14"
"21","Tshr"
"22","Mab21l2"
"23","1700018A04Rik"
"24","Lhx8"
"25","Chrm2"
"26","Itih2"
"27","Slc4a10"
"28","Olfr1033"
"29","Lmod1"
"30","Nrgn"
"31","Klhl6"
"32","Ptprb"
"33","Tek"
"34","Bcl6b"
"35","Cdh5"
"36","Tbx19"
"37","Olig2"
"38","Omp"
"39","Stmn3"
"40","Gm26777"
"41","Gdf5"
"42","Notum"
"43","Cytl1"
"44","Tspan8"
"45","Gm30371"
"46","Hmcn2"
"47","Zfp382"
"48","Pcdh15"
"49","Orc5"
"50","Epha3"
"51","Slc6a11"
"52","Gh"
"53","Iqsec3"
"54","March11"
"55","Tmem130"
"56","Plp1"
"57","Mpz"
"58","Hey2"
"59","Cyp2j9"
"60","Sox10"
"61","Dmrt3"
"62","Mybpc1"
"63","Dmrta2"
"64","Sp8"
"65","Pcdh8"
"66","Col10a1"
"67","4932411K12Rik"
"68","Dmp1"
"69","B3galt2"
"70","Ibsp"
"71","Neil3"
"72","Depdc1a"
"73","Spc25"
"74","Gins3"
"75","Anln"
"76","Gm49339"
"77","Igsf6"
"78","Nlrp3"
"79","Cd86"
"80","Aoah"
"81","Sele"
"82","Inhbb"
"83","Selp"
"84","Cd93"
"85","Csf2rb2"
"86","Adamts16"
"87","Krt7"
"88","Trp73"
"89","Gm6999"
"90","Xk"
"91","Hist1h4a"
"92","Hist1h1a"
"93","Tk1"
"94","Kif20a"
"95","BC030867"
"96","Abcc9"
"97","Ptgir"
"98","Il6"
"99","Rasl12"
"100","Aoc3"
"101","Gfap"
"102","Zic1"
"103","Adgrv1"
"104","Greb1"
"105","Col4a6"
"106","Scn7a"
"107","Adgrv1"
"108","Rmst"
"109","Zic1"
"110","Lrrtm2"
"111","Mmp9"
"112","Slc37a2"
"113","Ctsk"
"114","S100a4"
"115","Gpr137b-ps"
