"","x"
"1","Mfap5"
"2","Osr1"
"3","Agtr2"
"4","Itih2"
"5","D830025C05Rik"
"6","4932411K12Rik"
"7","Col10a1"
"8","Lypd3"
"9","Tspan8"
"10","Gm47990"
"11","Olfm5"
"12","Bpifa1"
"13","Gm15987"
"14","Hp"
"15","C3"
"16","Gm49353"
"17","Gm31698"
"18","Rbm11"
"19","Panct2"
"20","Igsf21"
"21","Ecscr"
"22","Robo4"
"23","Tie1"
"24","Selp"
"25","Ptprb"
"26","Neil3"
"27","Spc25"
"28","Depdc1a"
"29","Anln"
"30","Diaph3"
"31","Mpz"
"32","Plp1"
"33","Hey2"
"34","Fabp7"
"35","Sox10"
"36","Gm49339"
"37","Cd86"
"38","Ptprc"
"39","Nlrp3"
"40","Lcp2"
"41","Scn7a"
"42","Lratd1"
"43","Gfap"
"44","Adgrv1"
"45","Draxin"
"46","Abcc9"
"47","Il6"
"48","Ptgir"
"49","Rgs5"
"50","Lin7a"
"51","Ccdc17"
"52","Spag16"
"53","Ccdc181"
"54","Dnah10"
"55","Dnah9"
